"doi","exemplar","type","key","value"
"X6BEZ8KT","1","length","total_length","172907"
"X6BEZ8KT","1","string_cronbach","locations_cronbach.start","73858"
"X6BEZ8KT","2","string_cronbach","locations_cronbach.start","95306"
"X6BEZ8KT","1","string_cronbach","locations_cronbach.end","73869"
"X6BEZ8KT","2","string_cronbach","locations_cronbach.end","95317"
"X6BEZ8KT","1","string_cronbach","post_cronbach","αs = .82, .90 and .93 for depression, anxiety and s"
"X6BEZ8KT","2","string_cronbach","post_cronbach","αs = .92), test-retest reliability (.97) and split-"
